DEBUG 2024-08-07 22:50:37,810 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1722979181.0556767
DEBUG 2024-08-07 22:50:37,811 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\template\response.py first seen with mtime 1722979183.9713023
DEBUG 2024-08-07 22:50:37,811 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\utils\timezone.py first seen with mtime 1722979184.0101967
DEBUG 2024-08-07 22:50:37,812 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\xml\dom\xmlbuilder.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,812 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1722979181.0516872
DEBUG 2024-08-07 22:50:37,813 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1722979182.47219
DEBUG 2024-08-07 22:50:37,813 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1722979181.3698318
DEBUG 2024-08-07 22:50:37,814 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1722979182.3820229
DEBUG 2024-08-07 22:50:37,815 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1722979183.8246968
DEBUG 2024-08-07 22:50:37,815 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\dis.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,816 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1722979181.2262187
DEBUG 2024-08-07 22:50:37,816 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\djoser\permissions.py first seen with mtime 1723035962.2512064
DEBUG 2024-08-07 22:50:37,817 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework_simplejwt\tokens.py first seen with mtime 1722979184.4370496
DEBUG 2024-08-07 22:50:37,817 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\asgiref\__init__.py first seen with mtime 1722979181.0477166
DEBUG 2024-08-07 22:50:37,817 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\management\sql.py first seen with mtime 1722979183.818712
DEBUG 2024-08-07 22:50:37,818 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,818 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\DLLs\unicodedata.pyd first seen with mtime 1712667062.0
DEBUG 2024-08-07 22:50:37,818 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\generics.py first seen with mtime 1722979184.331334
DEBUG 2024-08-07 22:50:37,819 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1722979181.0526845
DEBUG 2024-08-07 22:50:37,819 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\difflib.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,820 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1722979183.6842325
DEBUG 2024-08-07 22:50:37,820 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1722979183.7638595
DEBUG 2024-08-07 22:50:37,820 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1722979183.8655856
DEBUG 2024-08-07 22:50:37,821 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1722979183.7788198
DEBUG 2024-08-07 22:50:37,821 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1722979183.900492
DEBUG 2024-08-07 22:50:37,821 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1722979184.0012214
DEBUG 2024-08-07 22:50:37,822 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\urllib3\util\request.py first seen with mtime 1723035951.286113
DEBUG 2024-08-07 22:50:37,822 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1722979184.404138
DEBUG 2024-08-07 22:50:37,822 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1722979183.9752915
DEBUG 2024-08-07 22:50:37,823 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1722979184.004213
DEBUG 2024-08-07 22:50:37,823 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1722979183.623454
DEBUG 2024-08-07 22:50:37,823 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1722979183.9114623
DEBUG 2024-08-07 22:50:37,824 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1723035951.2791317
DEBUG 2024-08-07 22:50:37,824 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1722979183.947366
DEBUG 2024-08-07 22:50:37,824 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1722979183.8645892
DEBUG 2024-08-07 22:50:37,825 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1722979183.8805459
DEBUG 2024-08-07 22:50:37,825 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1722979184.449018
DEBUG 2024-08-07 22:50:37,826 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\asyncio\mixins.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,827 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\signing.py first seen with mtime 1722979183.827688
DEBUG 2024-08-07 22:50:37,827 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1722979184.0072057
DEBUG 2024-08-07 22:50:37,828 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\postgres\__init__.py first seen with mtime 1722979182.8707097
DEBUG 2024-08-07 22:50:37,829 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,829 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\base64.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,830 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,830 autoreload File Z:\webprojects\SoftDesk\softdesk\main\admin.py first seen with mtime 1722979181.0247598
DEBUG 2024-08-07 22:50:37,830 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1722979181.2341964
DEBUG 2024-08-07 22:50:37,830 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\authtoken\admin.py first seen with mtime 1722979184.3233564
DEBUG 2024-08-07 22:50:37,831 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1722979183.767848
